dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.03,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.05,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.1,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.15,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.2,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.3,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,2,1,1,0.5,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.01,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.03,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.1,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.15,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.2,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.3,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,3,1,1,0.5,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.01,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.03,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.1,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.15,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.2,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.3,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,4,1,1,0.5,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.01,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.03,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.05,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.1,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.15,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.2,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.3,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,5,1,1,0.5,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.01,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.03,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.05,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.1,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.15,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.2,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.3,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,6,1,1,0.5,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.01,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.03,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.1,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.15,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.2,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.3,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,7,1,1,0.5,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.01,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.03,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.1,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.15,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.2,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.3,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,8,1,1,0.5,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.01,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.03,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.1,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.15,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.2,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.3,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,9,1,1,0.5,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.01,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.03,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.1,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.15,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.2,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.3,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,0,2,1,0.5,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.01,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.03,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.05,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.1,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.15,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.2,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.3,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,1,2,1,0.5,1,0.5,3,0.4945313576908971,0.8645792214737754,0.04314109991977895,0.04124758037023032,0.1643092880716643
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.01,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.03,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.05,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.1,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.15,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.2,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.3,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,2,1,0.5,1,0.5,2,0.4998589080470667,0.8990806412590887,0.08316249220073091,0.027649621746078233,0.20938700184547857
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.01,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.03,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.1,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.15,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.2,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.3,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,3,2,1,0.5,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.01,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.03,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.1,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.15,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.2,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.3,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,4,2,1,0.5,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.01,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.03,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.05,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.1,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.15,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.2,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.3,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,5,2,1,0.5,1,0.5,3,0.4999256364602348,0.8701119274699808,0.009893929940279883,0.034686016274719074,0.12430785079623986
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.01,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.03,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.05,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.1,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.15,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.2,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.3,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,6,2,1,0.5,1,0.5,4,0.5114425127007818,0.8493053875440898,0.00971566093234691,0.04759862110314069,0.14413306816127283
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.01,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.03,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.1,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.15,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.2,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.3,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,7,2,1,0.5,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,8,2,1,0.01,1,0.5,3,0.5107801824925462,0.9126863866145444,0.45342722167751137,0.02865153429993458,0.08377872795296633
